#Selection name: Selection 1
#Area (µm^2): 693778.57
Cell ID,Cluster,Transcripts,Area (µm^2)
edkjlgci-1,Cluster 1,87,50.97
effenbab-1,Cluster 24,107,62.58
efaepilc-1,Cluster 2,47,18.55
efaonpbi-1,Cluster 15,131,59.14
efbigdep-1,Cluster 2,119,51.57
efbjagbj-1,Cluster 3,137,75.99
efbfdhih-1,Cluster 15,154,54.42
edjmifpc-1,Cluster 2,178,90.17
edjcchmi-1,Cluster 3,171,92.17
edjfkdla-1,Cluster 3,116,90.40
edkbjpdp-1,Cluster 1,51,27.49
edkdfapl-1,Cluster 6,139,81.72
efbainmn-1,Cluster 12,118,45.42
edkpgdhp-1,Cluster 1,47,22.94
edkbbegf-1,Cluster 1,43,46.84
efbbjdkm-1,Cluster 1,24,13.74
efbjgjch-1,Cluster 3,53,25.75
efbhfaod-1,Cluster 2,69,30.11
efbgllna-1,Cluster 2,148,71.95
efbcaddp-1,Cluster 8,76,42.29
efbbmcge-1,Cluster 1,69,47.70
efbhkpcc-1,Cluster 6,96,51.61
efbinbpm-1,Cluster 2,74,52.99
efbjmgdm-1,Cluster 2,209,78.27
efbimhhc-1,Cluster 6,68,42.02
efamniap-1,Cluster 12,230,79.77
eepocodm-1,Cluster 15,140,61.67
efacecne-1,Cluster 12,241,114.31
edjbooon-1,Cluster 6,114,71.09
edjcjdpb-1,Cluster 1,96,51.64
edjdngld-1,Cluster 2,79,34.52
edjheeoe-1,Cluster 6,93,70.79
edjmffhg-1,Cluster 10,60,44.60
edjppbmf-1,Cluster 8,32,25.41
edjpkhli-1,Cluster 1,77,55.08
edkginab-1,Cluster 1,110,69.40
efanknlg-1,Cluster 1,108,58.00
efafpoil-1,Cluster 8,80,41.32
efabjeho-1,Cluster 2,102,48.02
efadeklk-1,Cluster 2,80,39.65
efadejem-1,Cluster 15,120,46.24
eeppinlc-1,Cluster 8,103,43.95
efacgelh-1,Cluster 8,82,49.16
efahbgdl-1,Cluster 15,225,92.65
efagkodb-1,Cluster 12,102,48.21
effmbhdb-1,Cluster 2,150,80.11
efemnlgp-1,Cluster 2,148,62.22
efemmbka-1,Cluster 2,48,41.66
eddkppig-1,Cluster 1,101,61.88
effbccpj-1,Cluster 2,135,65.45
effconin-1,Cluster 2,51,26.05
effeiebl-1,Cluster 12,82,42.29
effenibb-1,Cluster 8,72,34.95
effjihoo-1,Cluster 1,134,70.59
effifibo-1,Cluster 8,94,66.89
effgimff-1,Cluster 1,31,22.48
efbifmlf-1,Cluster 8,121,71.38
ecogfgjp-1,Cluster 2,95,52.40
ecochebe-1,Cluster 2,103,102.52
ecombbkc-1,Cluster 12,250,102.04
ecoiebjc-1,Cluster 12,225,116.70
ecoonbda-1,Cluster 2,97,57.60
ecooopkn-1,Cluster 2,102,52.82
efegadeo-1,Cluster 2,56,24.02
efejlcff-1,Cluster 12,29,17.77
efejnjlg-1,Cluster 12,155,58.08
efekjjhf-1,Cluster 2,72,29.42
efefgimb-1,Cluster 8,71,37.33
effdngaf-1,Cluster 24,128,84.40
efehlhgf-1,Cluster 2,148,99.34
efemcfgk-1,Cluster 2,77,67.69
effhgdkb-1,Cluster 2,46,35.23
effiaoko-1,Cluster 12,106,46.07
efeommlp-1,Cluster 24,170,110.30
effljnah-1,Cluster 2,36,17.21
effbfdff-1,Cluster 3,51,50.10
effkdmne-1,Cluster 12,149,85.18
effenige-1,Cluster 2,103,63.16
ecoceonk-1,Cluster 1,40,31.78
econjdod-1,Cluster 2,205,110.19
ecocnmjd-1,Cluster 1,83,59.51
ecokhcon-1,Cluster 12,124,74.47
ecoaembe-1,Cluster 8,40,23.34
ecofliij-1,Cluster 6,71,31.14
ecoijejb-1,Cluster 2,75,39.38
ecolcnop-1,Cluster 2,69,35.42
ecoelpog-1,Cluster 12,171,77.18
eepemido-1,Cluster 2,117,48.53
edjphjih-1,Cluster 8,84,54.23
eepnoccg-1,Cluster 2,100,55.77
edjapedm-1,Cluster 3,87,44.20
eepiaocd-1,Cluster 2,72,30.25
edjbnodc-1,Cluster 2,85,33.26
edjeecla-1,Cluster 3,152,84.31
edjfkpam-1,Cluster 6,33,18.19
edjfmdih-1,Cluster 1,103,52.70
edjoeppf-1,Cluster 8,109,82.93
edjglkmb-1,Cluster 2,29,21.83
edkdcjjh-1,Cluster 14,178,116.45
edkgnpjh-1,Cluster 8,108,129.89
eepijilh-1,Cluster 8,100,56.88
eepkbckd-1,Cluster 2,150,62.80
eepnlhjg-1,Cluster 2,80,37.84
eepifjde-1,Cluster 2,70,45.27
eeplclba-1,Cluster 1,79,38.65
eepjedkk-1,Cluster 13,105,53.29
eepmjeeg-1,Cluster 17,141,47.01
eephlgep-1,Cluster 2,74,34.73
eepmamed-1,Cluster 12,100,38.02
eepjehcl-1,Cluster 3,106,59.05
eepfemgm-1,Cluster 8,33,17.26
eepcejln-1,Cluster 2,110,50.72
edjjflfi-1,Cluster 8,90,52.45
edkdngjl-1,Cluster 3,122,74.67
edjceocp-1,Cluster 12,164,66.72
edjgclnb-1,Cluster 12,121,61.10
edjdbhge-1,Cluster 8,63,43.10
edjajnhf-1,Cluster 8,97,60.64
eepgfdjc-1,Cluster 2,47,23.87
egiolene-1,Cluster 8,95,55.32
edkcchnc-1,Cluster 3,122,76.74
eepheohm-1,Cluster 2,101,67.42
eghlldhh-1,Cluster 8,65,30.73
eghpbdcj-1,Cluster 3,217,98.29
eeopgckb-1,Cluster 2,85,60.18
eepcjena-1,Cluster 2,140,64.59
eepaijcb-1,Cluster 2,133,63.18
eeoplbfh-1,Cluster 2,113,60.44
eeommfid-1,Cluster 8,142,61.86
eghkjfic-1,Cluster 2,162,98.66
egakakcj-1,Cluster 10,79,49.81
egbiopci-1,Cluster 3,146,82.81
efekgcmc-1,Cluster 8,104,52.16
effaccej-1,Cluster 2,85,53.02
efeoidop-1,Cluster 8,179,91.17
egcagjfk-1,Cluster 3,237,106.99
effaojic-1,Cluster 12,137,87.95
effdnbda-1,Cluster 2,172,99.85
effnddii-1,Cluster 12,139,66.14
effgglpp-1,Cluster 24,140,79.83
eephlgfp-1,Cluster 24,146,101.18
effikfdp-1,Cluster 24,203,138.03
ecnpccck-1,Cluster 6,79,33.94
egbfefga-1,Cluster 8,72,30.23
egbkleal-1,Cluster 15,142,66.55
egbemckj-1,Cluster 15,56,29.79
ecocfapm-1,Cluster 8,32,24.80
ecokiflp-1,Cluster 17,194,67.73
egaopncd-1,Cluster 1,65,30.94
egbmjefi-1,Cluster 12,59,25.33
egbbkmfn-1,Cluster 2,121,56.82
egcbkmkb-1,Cluster 3,124,47.36
eeoonnfa-1,Cluster 2,74,36.90
effcmmmc-1,Cluster 2,71,41.98
efeppmlc-1,Cluster 3,99,60.22
egjagbbm-1,Cluster 2,41,28.16
efepdgna-1,Cluster 8,28,33.62
effjhdco-1,Cluster 2,84,38.33
effmeogl-1,Cluster 2,163,54.42
efffgmpk-1,Cluster 12,169,91.96
effipckk-1,Cluster 12,114,48.27
effheiip-1,Cluster 2,81,34.62
egaoiibk-1,Cluster 3,171,87.58
egcciich-1,Cluster 3,137,63.83
egaapnmn-1,Cluster 6,74,66.19
efpphnhc-1,Cluster 2,160,90.40
egafeoib-1,Cluster 2,61,59.77
egahoemb-1,Cluster 14,125,50.41
egackcaa-1,Cluster 14,116,57.54
egagdlaa-1,Cluster 14,181,118.87
efpohoke-1,Cluster 14,172,95.40
eelfnpgb-1,Cluster 10,73,36.70
edcgkdpk-1,Cluster 8,33,17.66
ecgbhjda-1,Cluster 14,91,40.95
echbclem-1,Cluster 14,162,77.78
eckcihak-1,Cluster 14,127,70.45
eclnmhad-1,Cluster 3,72,42.98
ecmfpokl-1,Cluster 2,144,71.39
ecmhakba-1,Cluster 3,135,72.28
ecmmbfjo-1,Cluster 2,131,84.30
ecmphmlp-1,Cluster 3,112,58.02
edaihjhp-1,Cluster 6,63,24.25
edagnjgj-1,Cluster 6,64,26.98
edaemplc-1,Cluster 3,111,49.98
edaadnnk-1,Cluster 12,115,48.74
edacjmnh-1,Cluster 3,112,47.86
ecnabmcc-1,Cluster 3,129,79.82
eckiigkp-1,Cluster 14,178,86.65
eckkbccn-1,Cluster 6,31,21.27
echblhhp-1,Cluster 4,60,33.09
eckecfni-1,Cluster 14,178,99.59
eckjhpkk-1,Cluster 2,113,55.56
ecllmbnh-1,Cluster 2,53,29.20
eclhdkgk-1,Cluster 6,121,68.38
eclblbak-1,Cluster 8,117,70.06
eclldjmo-1,Cluster 2,208,93.03
eclcaonh-1,Cluster 6,58,41.22
ecmbjlei-1,Cluster 8,178,77.85
ecppdaeb-1,Cluster 2,102,51.17
ecmhdgeg-1,Cluster 6,47,23.61
ecphkaef-1,Cluster 3,99,44.16
ecmgbdhp-1,Cluster 6,106,53.66
ecphaogm-1,Cluster 1,85,40.87
ecmhfdjj-1,Cluster 3,91,58.21
ecppacia-1,Cluster 12,54,20.92
ecphnflj-1,Cluster 12,152,49.76
ecmocgfi-1,Cluster 3,71,40.74
ecmkognl-1,Cluster 6,44,21.53
eckpjenc-1,Cluster 14,186,77.22
eckdabfa-1,Cluster 14,171,84.25
eclefphc-1,Cluster 3,156,72.70
eckfcneh-1,Cluster 14,117,54.49
eckmdhah-1,Cluster 14,117,56.78
eckhbbmh-1,Cluster 10,176,58.30
ecldnife-1,Cluster 14,168,76.74
eclgoodn-1,Cluster 11,98,61.39
ecmecokb-1,Cluster 6,119,73.38
edckfjbf-1,Cluster 8,71,35.88
ecfocpmb-1,Cluster 10,21,7.10
ecgaclin-1,Cluster 10,36,19.73
ecgagnig-1,Cluster 14,265,108.86
ecgfmkcd-1,Cluster 14,90,51.15
ecghfnkd-1,Cluster 14,116,68.49
ecgghnjm-1,Cluster 14,160,73.61
ecgkaaae-1,Cluster 4,46,15.43
ecgkigjm-1,Cluster 10,123,57.68
ecgndchi-1,Cluster 14,86,36.91
ecgniopb-1,Cluster 14,142,59.34
ecgkihac-1,Cluster 14,248,110.38
edcgnfej-1,Cluster 1,63,40.89
eddaojho-1,Cluster 14,145,61.25
edckpfkk-1,Cluster 1,55,35.66
edcfhdmi-1,Cluster 3,98,49.46
edclhojg-1,Cluster 3,197,113.58
eddfonan-1,Cluster 14,297,162.00
eddadcch-1,Cluster 14,163,75.88
edchkffg-1,Cluster 3,176,74.41
ecflcecd-1,Cluster 11,170,87.97
ecfimkpb-1,Cluster 10,143,71.54
eddhcodi-1,Cluster 10,32,16.91
eddjmjbn-1,Cluster 14,152,67.02
eddkfpal-1,Cluster 6,116,52.96
ecfhgibd-1,Cluster 14,170,73.65
ecganhpi-1,Cluster 14,110,55.21
ecgidhna-1,Cluster 14,163,62.31
ecgfnbbp-1,Cluster 14,144,56.00
ecgmgjed-1,Cluster 14,157,77.40
ecgnobbf-1,Cluster 14,225,92.90
ecglckaa-1,Cluster 14,272,107.70
ecgicjfi-1,Cluster 4,143,59.95
edckmdko-1,Cluster 8,18,13.86
edckibfc-1,Cluster 2,90,47.34
edcmknme-1,Cluster 8,59,29.37
edcnkfde-1,Cluster 1,45,29.30
edddagpo-1,Cluster 2,65,36.74
eddeddhg-1,Cluster 14,74,30.78
edddnohh-1,Cluster 1,65,26.71
edcokhip-1,Cluster 8,63,33.44
eddggmoi-1,Cluster 6,52,19.66
eekliimj-1,Cluster 14,87,39.84
eeljdjjh-1,Cluster 14,140,84.43
eemjnamn-1,Cluster 14,79,51.38
ecmhjcac-1,Cluster 1,99,64.82
ecmjlgco-1,Cluster 8,126,70.62
ecmonnfj-1,Cluster 1,62,44.55
ecpfdjef-1,Cluster 2,108,60.42
ecnllofi-1,Cluster 2,107,45.31
ecndmppo-1,Cluster 2,120,55.67
eemhmbhi-1,Cluster 6,108,52.46
ecnjjpnl-1,Cluster 2,47,37.69
ecnegijj-1,Cluster 2,59,35.57
ecnjgabp-1,Cluster 2,118,62.46
eckefcki-1,Cluster 14,136,57.23
eckojlcg-1,Cluster 10,105,58.18
eeladkno-1,Cluster 14,121,48.29
eckipaoh-1,Cluster 14,185,88.19
eckfodcm-1,Cluster 4,125,55.21
eckpfljb-1,Cluster 14,135,56.24
eemidljj-1,Cluster 4,63,30.54
ecliebmn-1,Cluster 14,160,76.63
eclhcpnl-1,Cluster 14,154,74.66
ecmdiano-1,Cluster 14,193,96.61
eemcoabi-1,Cluster 3,93,41.00
eemcaddk-1,Cluster 6,108,55.99
eemcponp-1,Cluster 3,75,45.39
eemeifdi-1,Cluster 6,76,41.86
ecnfkcfg-1,Cluster 12,290,107.37
ecnkajmd-1,Cluster 1,90,40.08
ecpeakbi-1,Cluster 2,88,42.47
eemfinpd-1,Cluster 3,92,53.92
ecnjhpgp-1,Cluster 6,134,82.50
eemfppec-1,Cluster 2,58,34.01
ecnmbhgh-1,Cluster 2,85,44.17
eekoeeel-1,Cluster 10,68,44.07
eekodnkn-1,Cluster 4,116,45.40
eekoemfd-1,Cluster 14,77,38.27
eelbihlj-1,Cluster 14,188,100.46
eeldpdpg-1,Cluster 1,29,30.24
eelkbenp-1,Cluster 14,179,100.52
eellbhac-1,Cluster 10,91,44.41
eelplnmn-1,Cluster 10,94,61.17
eelpdceh-1,Cluster 11,90,68.07
eejfpnbe-1,Cluster 14,360,206.62
eddhcjfp-1,Cluster 8,139,68.43
ecgjbapj-1,Cluster 14,139,68.37
eejpapee-1,Cluster 14,126,48.53
ecghbpbk-1,Cluster 14,240,102.28
ecfllfgl-1,Cluster 11,221,115.14
eddiijaf-1,Cluster 3,140,152.83
ecgjmnmd-1,Cluster 10,251,111.57
eekbkjdl-1,Cluster 11,121,58.25
echbabpc-1,Cluster 3,200,88.12
echcojln-1,Cluster 11,111,41.03
ecgocokp-1,Cluster 14,195,103.04
edcgnkdp-1,Cluster 2,92,61.04
eenehchf-1,Cluster 2,58,24.24
edcikaph-1,Cluster 3,156,75.27
edcmljia-1,Cluster 2,176,64.76
eenehopj-1,Cluster 6,102,58.21
eenlgjjn-1,Cluster 8,114,66.16
edddlnjp-1,Cluster 2,55,28.83
edcnliic-1,Cluster 15,211,89.97
eeoapgbk-1,Cluster 8,118,37.91
eejbgfmk-1,Cluster 8,95,57.32
eejbpfgm-1,Cluster 8,104,46.98
eejekpbb-1,Cluster 10,96,67.71
eekblghn-1,Cluster 10,98,52.44
eekgiabf-1,Cluster 14,85,34.47
eejimodh-1,Cluster 14,189,100.38
eemkehnc-1,Cluster 14,144,82.84
eekemkdc-1,Cluster 14,233,97.32
eekbdpmj-1,Cluster 14,129,51.71
eejklneh-1,Cluster 14,179,71.50
eejifceh-1,Cluster 10,137,55.81
eeneooma-1,Cluster 2,42,23.88
eenhigga-1,Cluster 8,103,44.74
eendcdfc-1,Cluster 15,189,83.25
eenibgeg-1,Cluster 2,49,19.29
eenjeapg-1,Cluster 3,173,66.61
eenlkinl-1,Cluster 2,54,29.93
eenodpma-1,Cluster 1,63,34.55
eeockcgo-1,Cluster 2,181,115.11
eeoejppk-1,Cluster 1,49,30.53
epjeeilc-1,Cluster 2,119,52.20
fabbkgml-1,Cluster 6,77,71.99
epkcemak-1,Cluster 1,65,52.20
epkedmpj-1,Cluster 6,90,71.14
edapbboe-1,Cluster 1,72,36.79
epkfgbpa-1,Cluster 2,40,24.34
ebknbcll-1,Cluster 1,101,44.06
edbjbihn-1,Cluster 8,120,74.10
edbbiejl-1,Cluster 8,116,63.96
edbmkfpn-1,Cluster 12,90,40.28
edbngihn-1,Cluster 1,30,21.17
edcfombf-1,Cluster 8,80,36.30
edcfgekp-1,Cluster 2,66,36.69
edbmnnkd-1,Cluster 2,73,40.76
ebkopeia-1,Cluster 2,63,40.05
epjcncka-1,Cluster 6,59,40.25
epioidhi-1,Cluster 1,66,48.69
epjoaopo-1,Cluster 6,52,44.40
faccmdae-1,Cluster 8,44,42.10
epjllkik-1,Cluster 1,32,19.21
epkehaoi-1,Cluster 2,129,97.55
epjmoifm-1,Cluster 1,68,39.29
ebkpfeee-1,Cluster 2,144,71.94
epjjfnmk-1,Cluster 1,56,35.71
edapgonk-1,Cluster 2,96,54.26
edbcfipa-1,Cluster 6,19,13.77
edbdbmbj-1,Cluster 2,50,24.68
edbhhalp-1,Cluster 1,37,23.98
edbhlbki-1,Cluster 8,109,52.85
edbnoiic-1,Cluster 3,43,14.06
edblmeki-1,Cluster 3,61,31.27
edbkpgnn-1,Cluster 1,78,36.23
edcbfddk-1,Cluster 2,43,32.14
edcbicog-1,Cluster 3,106,53.51
edcdfajn-1,Cluster 1,77,36.99
ephpmmoc-1,Cluster 2,124,46.62
epijoplh-1,Cluster 12,241,88.78
epkegbcn-1,Cluster 1,74,43.21
epkffiep-1,Cluster 2,100,65.38
epibnffe-1,Cluster 2,78,47.85
ephcfkae-1,Cluster 2,74,27.58
ephgfhld-1,Cluster 2,57,30.13
epjdiecd-1,Cluster 1,132,70.30
epkcjcgp-1,Cluster 8,29,26.11
fbbiaico-1,Cluster 1,33,26.91
faaagggc-1,Cluster 24,72,33.54
epjlphil-1,Cluster 2,72,35.28
faagjkgp-1,Cluster 24,102,43.74
faaahcco-1,Cluster 1,40,19.03
epjnkoja-1,Cluster 1,59,26.00
faapcdng-1,Cluster 1,116,69.06
faaikkdd-1,Cluster 24,89,46.68
epjjejbj-1,Cluster 3,181,103.74
faamnaoi-1,Cluster 2,43,47.17
epjcppbj-1,Cluster 1,94,52.22
faapjlhb-1,Cluster 2,12,13.39
fbbodncn-1,Cluster 6,87,40.85
eppepife-1,Cluster 1,85,29.21
epphgdha-1,Cluster 1,37,15.34
eppgoapf-1,Cluster 1,47,28.05
fbbpbonh-1,Cluster 1,60,41.67
eppikogg-1,Cluster 2,27,13.02
eppjaedi-1,Cluster 1,42,28.36
epplogoa-1,Cluster 1,103,81.43
eppmgbem-1,Cluster 24,51,24.81
epjnnifc-1,Cluster 1,58,36.04
ephikila-1,Cluster 2,87,57.21
epibfmcg-1,Cluster 1,101,63.94
epjcnpei-1,Cluster 2,84,44.38
epinojoo-1,Cluster 2,65,37.76
ephekimh-1,Cluster 1,97,55.70
ephbebli-1,Cluster 1,51,38.07
ephbbiol-1,Cluster 2,85,46.73
epihhhpm-1,Cluster 1,82,52.32
epiammph-1,Cluster 2,93,42.88
ephdeeim-1,Cluster 2,91,43.18
ephjhmch-1,Cluster 1,61,41.30
fbbgacjl-1,Cluster 1,66,27.46
fbahcmoo-1,Cluster 1,77,37.38
fbbakhom-1,Cluster 2,115,42.47
fbbfhlkg-1,Cluster 1,54,34.25
fbbcmnnn-1,Cluster 24,49,29.88
fbalopkn-1,Cluster 24,61,33.86
fbajkljj-1,Cluster 1,41,28.42
fbbbbbpk-1,Cluster 8,89,48.71
ephlggpm-1,Cluster 24,103,49.77
epgjaaea-1,Cluster 12,251,102.78
eempmcbn-1,Cluster 1,81,48.66
epkaooib-1,Cluster 2,116,45.77
edapddjp-1,Cluster 2,88,51.33
edbejkfn-1,Cluster 2,38,35.04
edblpklf-1,Cluster 2,103,50.44
edbhlipb-1,Cluster 2,84,35.02
eemmbdpj-1,Cluster 1,73,51.44
edblggnc-1,Cluster 6,77,41.60
edbjbeod-1,Cluster 2,49,21.16
edbhpflp-1,Cluster 1,33,13.99
eenbnmem-1,Cluster 1,87,40.94
edcgbang-1,Cluster 6,111,68.74
epghknkh-1,Cluster 3,240,121.24
epihmago-1,Cluster 3,185,72.94
epgmpedc-1,Cluster 2,136,50.52
epgpocnh-1,Cluster 12,108,45.37
epgndlni-1,Cluster 2,113,35.37
epimmamc-1,Cluster 2,44,26.63
epioglnm-1,Cluster 12,224,84.97
epkebapc-1,Cluster 2,85,47.07
epilnahb-1,Cluster 2,83,36.20
epjgmcom-1,Cluster 2,99,48.52
epighebf-1,Cluster 2,68,43.72
eemomgfd-1,Cluster 2,65,36.19
epffmici-1,Cluster 8,102,62.48
eemlmnkj-1,Cluster 2,103,46.41
epihpjlf-1,Cluster 2,53,27.49
eenchjah-1,Cluster 2,73,43.58
eemkioho-1,Cluster 2,142,72.43
epjpgkdc-1,Cluster 12,194,61.30
eenbhddm-1,Cluster 1,124,84.17
eemobmaa-1,Cluster 2,14,12.72
epjopldj-1,Cluster 2,129,55.92
epickbja-1,Cluster 2,81,50.41
epfkcoaf-1,Cluster 8,54,35.51
epganbfl-1,Cluster 6,41,27.47
epicndfa-1,Cluster 2,54,32.51
epgddape-1,Cluster 2,85,51.26
epfppnjn-1,Cluster 1,101,46.23
epfkjnbj-1,Cluster 1,65,35.32
epihgklk-1,Cluster 6,81,49.92
epihaleh-1,Cluster 1,39,22.96
epgfpbkc-1,Cluster 8,92,39.00
ephnoohf-1,Cluster 2,56,23.99
ephlbcef-1,Cluster 24,142,55.48
ephofakn-1,Cluster 2,65,24.69
ephnmclb-1,Cluster 8,96,37.22
epgkccak-1,Cluster 24,181,81.09
ephaheng-1,Cluster 2,114,50.57
epgpnela-1,Cluster 2,70,39.20
epggnmnc-1,Cluster 24,105,46.87
epgjnded-1,Cluster 24,95,41.30
epgpfcoe-1,Cluster 2,36,15.73
epgpgaeh-1,Cluster 3,136,54.41
fbaadpgn-1,Cluster 1,92,49.71
fapccimm-1,Cluster 2,60,30.45
fapgigme-1,Cluster 1,65,40.87
fbafjnni-1,Cluster 1,70,49.01
fapgecai-1,Cluster 2,42,20.58
fapkchfj-1,Cluster 24,61,42.50
fbabmfaa-1,Cluster 8,46,23.13
fapgaohj-1,Cluster 24,77,36.21
epgomojb-1,Cluster 24,90,40.55
epgcapjj-1,Cluster 24,69,28.31
epgaemhj-1,Cluster 24,26,17.07
ephknnjk-1,Cluster 1,34,19.05
epfjpebc-1,Cluster 24,72,42.23
epgackch-1,Cluster 24,44,23.99
epgbjfpl-1,Cluster 24,59,32.66
epfnkabh-1,Cluster 8,62,32.22
epgbccjo-1,Cluster 8,92,42.76
epgbhpof-1,Cluster 1,81,42.62
epfhpieb-1,Cluster 8,46,23.53
epfjjega-1,Cluster 8,91,45.34
faoihmhd-1,Cluster 1,24,11.87
fapbnbol-1,Cluster 1,50,28.17
faoicegd-1,Cluster 1,65,32.92
faokgnci-1,Cluster 1,85,46.22
faopijmh-1,Cluster 1,87,49.55
faonbilk-1,Cluster 1,56,30.54
faohekkm-1,Cluster 1,70,40.69
fapabplm-1,Cluster 1,48,26.29
epfiljfi-1,Cluster 24,104,52.06
efmjdpdm-1,Cluster 1,83,49.19
efhomcne-1,Cluster 6,102,49.77
eejlkkld-1,Cluster 10,176,111.38
eekfaajd-1,Cluster 14,243,104.96
eeldolba-1,Cluster 14,90,52.07
eelfjkkk-1,Cluster 8,113,62.14
eelpfjfn-1,Cluster 10,119,63.43
eeljojoo-1,Cluster 14,173,92.56
eellnmgp-1,Cluster 8,78,43.02
ecnhnhhf-1,Cluster 2,155,104.72
eemblncd-1,Cluster 8,194,99.41
eemgpele-1,Cluster 3,193,112.95
eememfom-1,Cluster 3,157,97.47
eembjohi-1,Cluster 8,49,27.13
ecnmehlk-1,Cluster 2,151,113.73
eekmkkig-1,Cluster 10,83,37.23
eekbnhnp-1,Cluster 14,213,111.87
eejpogcc-1,Cluster 11,58,36.04
eekmojci-1,Cluster 1,50,22.20
eekdhida-1,Cluster 14,44,19.50
eekfkaob-1,Cluster 14,129,55.62
eemjpaph-1,Cluster 1,100,55.44
eeknjeab-1,Cluster 10,44,30.44
eelancfg-1,Cluster 10,56,32.23
eekoepbc-1,Cluster 10,69,45.23
efhmdhne-1,Cluster 15,125,57.05
efhnmggm-1,Cluster 14,203,88.95
efhokdgo-1,Cluster 14,167,58.31
eelmgcod-1,Cluster 10,110,54.11
eembhgml-1,Cluster 10,95,51.91
efhpoano-1,Cluster 10,191,63.68
efiaakpi-1,Cluster 1,97,42.37
ecneaflp-1,Cluster 6,224,145.73
efibpaaf-1,Cluster 2,149,71.97
ecnfmfii-1,Cluster 6,182,92.39
ecnmkdij-1,Cluster 1,132,132.52
eejpdage-1,Cluster 10,115,43.80
efhilohh-1,Cluster 10,154,84.53
efhkfaao-1,Cluster 10,82,34.34
efhkpldh-1,Cluster 14,153,71.38
eelbbkhc-1,Cluster 10,75,68.13
efhfijhi-1,Cluster 3,133,63.97
eeklcmfc-1,Cluster 14,138,62.82
eelgjlke-1,Cluster 14,189,105.61
efhhjpeh-1,Cluster 14,225,115.09
eejjehoi-1,Cluster 1,40,50.37
eeoefaoj-1,Cluster 1,77,42.08
eeofcpok-1,Cluster 6,20,13.50
eejblhbc-1,Cluster 1,41,29.92
eejicidb-1,Cluster 1,73,32.43
eejgihia-1,Cluster 1,93,40.67
eejbmcep-1,Cluster 1,90,49.77
eejkcagi-1,Cluster 8,80,52.84
eejancio-1,Cluster 6,111,58.33
eejebpnp-1,Cluster 1,99,88.10
eejkjhfm-1,Cluster 1,84,47.32
eejfoeab-1,Cluster 1,96,53.71
eenlidak-1,Cluster 1,66,32.57
eenkhcdm-1,Cluster 1,62,43.04
eennakmd-1,Cluster 1,64,35.60
eenikdon-1,Cluster 2,102,40.48
eeneijpo-1,Cluster 2,56,41.26
eenibook-1,Cluster 2,77,40.70
eeniaccn-1,Cluster 1,52,37.92
eenndojc-1,Cluster 3,134,65.63
eenloaad-1,Cluster 1,132,61.46
eeodmcan-1,Cluster 1,43,17.33
efhfiabf-1,Cluster 2,81,51.60
eeoeobgh-1,Cluster 8,44,32.50
efhkhhcn-1,Cluster 1,46,19.89
efhihpkk-1,Cluster 2,63,16.76
eejdknkk-1,Cluster 1,18,21.04
efhjfaak-1,Cluster 1,65,36.29
eejdnphl-1,Cluster 1,22,15.48
efhiojel-1,Cluster 14,151,53.17
eejllmbn-1,Cluster 10,139,84.85
efhgdieo-1,Cluster 8,196,145.47
efhfgmbh-1,Cluster 3,270,97.35
eenhgmnf-1,Cluster 6,93,60.36
efodcnfb-1,Cluster 6,65,34.53
eenilppe-1,Cluster 1,21,10.46
efhjcici-1,Cluster 1,30,18.96
eenkmoeo-1,Cluster 2,120,53.74
efoblgip-1,Cluster 1,41,29.46
efhgiecf-1,Cluster 8,107,67.31
eeocablc-1,Cluster 1,33,19.16
eeoeeapo-1,Cluster 8,42,22.11
efgcclpp-1,Cluster 6,215,111.57
egalgfpn-1,Cluster 14,177,87.36
egbncpam-1,Cluster 3,157,65.65
egbjjiml-1,Cluster 8,158,79.33
efiaklhj-1,Cluster 2,31,10.05
eganhdio-1,Cluster 14,335,150.44
efiamngg-1,Cluster 2,155,46.36
egbhejfc-1,Cluster 8,138,64.04
egbcbeff-1,Cluster 8,143,71.72
egboignk-1,Cluster 10,137,54.43
ecnijamn-1,Cluster 3,106,38.57
egbnflbn-1,Cluster 10,49,26.74
ecnmfhdm-1,Cluster 15,160,61.44
efhejjnc-1,Cluster 8,189,106.77
efhddgia-1,Cluster 8,264,83.39
efhamiod-1,Cluster 8,126,43.98
efhkohhi-1,Cluster 14,188,123.70
egbinnee-1,Cluster 14,145,60.79
egapjjkc-1,Cluster 14,197,92.15
efhlefhh-1,Cluster 14,96,53.57
egbmobkg-1,Cluster 10,45,28.83
eganplbe-1,Cluster 10,133,79.59
efhofjjo-1,Cluster 6,78,25.41
egakinbj-1,Cluster 3,70,36.01
egahokin-1,Cluster 3,70,41.41
efpngioi-1,Cluster 1,88,66.10
egaemiik-1,Cluster 8,94,65.62
egakcdpj-1,Cluster 6,179,85.41
efpplmph-1,Cluster 8,104,85.42
egaiekng-1,Cluster 8,108,73.27
efppmajd-1,Cluster 14,47,45.88
egankdjp-1,Cluster 3,106,44.59
egahihij-1,Cluster 14,368,178.13
efpompnh-1,Cluster 14,194,99.95
efgkneja-1,Cluster 10,160,68.79
efgogonb-1,Cluster 8,58,28.75
efglkicj-1,Cluster 8,166,104.58
efgcoaea-1,Cluster 10,154,67.28
efgnbldg-1,Cluster 8,234,80.63
efgeiaae-1,Cluster 15,173,76.01
